speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n,stability_index,stability_label,force_ratio,speed_wing,porpoising_flag,speed_kmh_qbin,wing_angle_deg_qbin,downforce_n_qbin,drag_n_qbin
236.27,28.81,1,3178.52,144.89,100.0,stable,21.93747,6806.9385,0,2,3,3,2
256.99,34.88,1,4461.89,193.59,100.0,stable,23.048143,8963.812,0,2,4,4,3
112.31,33.69,0,826.74,48.15,100.0,stable,17.170094,3783.7236,0,0,4,1,0
261.0,31.39,0,4192.49,248.33,100.0,stable,16.882738,8192.79,0,3,4,4,3
145.19,27.42,0,1147.06,70.94,100.0,stable,16.16944,3981.1099,0,0,3,1,1
117.24,9.86,0,278.05,34.38,100.0,stable,8.08755,1155.9863,0,0,0,0,0
351.45,9.67,0,2452.33,308.37,100.0,stable,7.9525576,3398.5217,0,4,0,3,4
355.89,9.49,0,2467.45,315.57,100.0,stable,7.8190255,3377.3962,0,4,0,3,4
314.23,18.79,0,3757.32,281.73,100.0,stable,13.336598,5904.3823,0,4,2,3,4
180.72,19.28,1,1274.17,70.51,100.0,stable,18.07077,3484.2817,0,1,2,1,1
125.88,22.33,0,711.29,48.25,100.0,stable,14.741761,2810.9004,0,0,2,0,0
281.32,11.8,1,1912.45,152.0,100.0,stable,12.581907,3319.5762,0,3,1,2,2
216.64,6.19,0,598.06,113.48,100.0,stable,5.2701797,1341.0016,0,2,0,0,1
132.34,8.02,0,288.81,43.0,100.0,stable,6.7165117,1061.3668,0,0,0,0,0
231.22,7.08,1,778.8,97.63,100.0,stable,7.9770565,1637.0376,0,2,0,0,1
109.11,28.78,1,677.33,30.88,100.0,stable,21.934263,3140.1858,0,0,3,0,0
340.97,9.04,0,2158.52,288.3,100.0,stable,7.4870625,3082.369,0,4,0,2,4
168.58,27.51,0,1551.11,95.82,100.0,stable,16.187748,4637.6357,0,1,3,2,1
275.57,8.21,1,1281.72,140.08,100.0,stable,9.149914,2262.4297,0,3,0,1,2
182.6,19.88,0,1339.37,97.01,100.0,stable,13.806515,3630.088,0,1,2,1,1
237.82,13.64,1,1575.36,111.38,100.0,stable,14.1440115,3243.865,0,2,1,2,1
244.88,24.54,0,2942.94,190.6,100.0,stable,15.440398,6009.3555,0,2,3,3,3
148.99,9.38,1,427.41,41.43,100.0,stable,10.316438,1397.5262,0,0,0,0,0
356.94,22.66,0,5799.08,390.43,35.05,moderate,14.85306,8088.2603,1,4,2,4,4
305.41,22.15,0,4154.74,283.07,100.0,stable,14.67743,6764.8315,0,3,2,4,4
348.97,17.09,0,4228.01,337.46,100.0,stable,12.528921,5963.8975,0,4,2,4,4
337.13,19.47,1,4477.01,246.21,100.0,stable,18.183704,6563.921,0,4,2,4,3
258.44,9.41,0,1290.19,166.27,100.0,stable,7.7596073,2431.9204,0,2,0,1,2
344.3,29.32,0,6857.46,414.42,0.0,severe,16.547125,10094.876,1,4,4,4,4
123.45,23.14,1,707.69,35.35,100.0,stable,20.01952,2856.6328,0,0,3,0,0
151.94,8.58,0,407.07,56.98,100.0,stable,7.144086,1303.6453,0,0,0,0,0
111.99,32.53,0,796.69,46.77,100.0,stable,17.03421,3643.0344,0,0,4,1,0
186.21,23.68,0,1645.36,108.37,100.0,stable,15.182799,4409.453,0,1,3,2,1
203.0,10.17,1,859.71,77.59,100.0,stable,11.080166,2064.51,0,1,0,1,1
171.91,11.73,0,709.58,75.6,100.0,stable,9.38598,2016.5043,0,1,1,0,1
319.62,11.12,1,2328.68,194.52,100.0,stable,11.971416,3554.1743,0,4,1,2,3
194.54,11.76,0,911.29,96.86,100.0,stable,9.408321,2287.7903,0,1,1,1,1
174.45,11.29,0,704.12,77.43,100.0,stable,9.093633,1969.5404,0,1,1,0,1
243.81,27.38,1,3229.99,149.92,100.0,stable,21.544758,6675.5176,0,2,3,3,2
137.34,22.74,0,861.6,57.9,100.0,stable,14.880828,3123.1116,0,0,2,1,0
312.58,12.0,0,2400.31,250.85,100.0,stable,9.5687065,3750.96,0,4,1,3,3
119.76,32.96,0,921.85,53.95,100.0,stable,17.087116,3947.2896,0,0,4,1,0
361.53,5.35,0,1439.45,314.22,100.0,stable,4.581026,1934.1854,0,4,0,2,4
304.64,25.57,1,4732.47,225.76,88.38,mild,20.962395,7789.645,1,3,3,4,3
152.66,21.3,0,1000.29,69.61,100.0,stable,14.369918,3251.658,0,0,2,1,1
101.46,20.94,0,434.77,30.54,100.0,stable,14.236083,2124.5725,0,0,2,0,0
316.1,21.54,0,4334.49,299.77,100.0,stable,14.459387,6808.7944,0,4,2,4,4
287.32,19.6,1,3271.66,179.23,100.0,stable,18.253975,5631.472,0,3,2,3,2
293.19,33.39,1,5589.94,244.64,45.5,moderate,22.849657,9789.614,1,3,4,4,3
304.39,23.56,0,4375.97,288.91,100.0,stable,15.146482,7171.4287,0,3,3,4,4
119.62,18.78,1,544.34,30.62,100.0,stable,17.77727,2246.4636,0,0,2,0,0
194.99,30.8,1,2300.43,102.73,100.0,stable,22.392971,6005.692,0,1,4,2,1
130.71,31.69,0,1060.35,62.65,100.0,stable,16.92498,4142.2,0,0,4,1,0
328.72,28.23,1,6039.51,277.22,23.02,severe,21.785982,9279.766,1,4,3,4,4
265.17,22.21,0,3141.07,213.66,100.0,stable,14.701255,5889.426,0,3,2,3,3
187.69,6.28,0,455.36,85.24,100.0,stable,5.342093,1178.6932,0,1,0,0,1
116.84,32.3,0,862.01,50.69,100.0,stable,17.005524,3773.932,0,0,4,1,0
182.41,29.53,1,1937.49,87.62,100.0,stable,22.112417,5386.5674,0,1,4,2,1
186.17,33.01,0,2230.74,130.51,100.0,stable,17.092484,6145.471,0,1,4,2,2
293.35,9.04,1,1596.8,160.03,100.0,stable,9.978129,2651.884,0,3,0,2,2
268.95,33.83,0,4758.69,276.92,87.07,mild,17.18435,9098.579,1,3,4,4,4
335.11,33.97,0,7414.02,431.08,0.0,severe,17.198711,11383.687,1,4,4,4,4
225.14,18.6,0,1910.32,144.15,100.0,stable,13.252307,4187.604,0,2,2,2,2
131.69,7.23,0,257.93,42.28,100.0,stable,6.10052,952.1187,0,0,0,0,0
289.01,23.66,0,3959.79,260.93,100.0,stable,15.17568,6837.9766,0,3,3,4,3
301.61,23.79,0,4335.13,284.9,100.0,stable,15.216321,7175.302,0,3,3,4,4
248.74,20.92,0,2609.97,183.48,100.0,stable,14.22482,5203.641,0,2,2,3,3
304.31,14.84,0,2803.05,247.55,100.0,stable,11.323167,4515.9604,0,3,1,3,3
230.86,7.15,0,784.24,129.84,100.0,stable,6.0400496,1650.649,0,2,0,0,2
238.52,21.87,0,2504.16,171.76,100.0,stable,14.579413,5216.4326,0,2,2,3,2
213.3,14.43,0,1339.11,120.85,100.0,stable,11.080761,3077.9192,0,2,1,1,2
106.74,7.99,1,187.1,20.97,100.0,stable,8.922271,852.85254,0,0,0,0,0
128.59,10.71,1,363.03,31.33,100.0,stable,11.5872965,1377.1989,0,0,0,0,0
108.33,28.72,0,666.17,40.53,100.0,stable,16.436466,3111.2375,0,0,3,0,0
268.65,29.19,0,4159.2,251.69,100.0,stable,16.525091,7841.8936,0,3,4,4,3
183.3,28.03,0,1865.53,114.46,100.0,stable,16.298532,5137.8994,0,1,3,2,1
234.77,7.27,0,824.64,134.42,100.0,stable,6.1348014,1706.778,0,2,0,1,2
340.51,8.32,1,1981.68,214.08,100.0,stable,9.256726,2833.0432,0,4,0,2,3
166.06,12.0,0,677.31,70.8,100.0,stable,9.5665245,1992.72,0,1,1,0,1
208.75,34.38,0,2907.46,168.65,100.0,stable,17.239609,7176.825,0,2,4,3,2
300.22,13.25,1,2440.29,176.52,100.0,stable,13.824439,3977.915,0,3,1,3,2
160.63,33.04,0,1662.31,97.23,100.0,stable,17.096678,5307.2153,0,1,4,2,1
120.4,24.78,0,717.75,46.29,100.0,stable,15.505508,2983.5122,0,0,3,0,0
176.78,5.82,0,374.53,75.37,100.0,stable,4.9692183,1028.8596,0,1,0,0,1
142.72,19.62,1,808.23,44.24,100.0,stable,18.269213,2800.1665,0,0,2,1,0
346.37,30.08,0,7105.23,425.96,0.0,severe,16.68051,10418.81,1,4,4,4,4
314.15,6.91,0,1402.08,239.96,100.0,stable,5.8429737,2170.7764,0,4,0,1,3
267.85,23.3,1,3352.58,166.93,100.0,stable,20.08375,6240.905,0,3,3,3,2
330.94,14.61,0,3264.87,291.75,100.0,stable,11.190643,4835.033,0,4,1,3,4
312.97,11.01,0,2209.93,248.34,100.0,stable,8.898808,3445.7998,0,4,0,2,3
149.44,20.85,0,939.34,66.15,100.0,stable,14.200151,3115.8242,0,0,2,1,1
336.53,28.88,0,6462.47,392.46,1.88,severe,16.46657,9718.986,1,4,3,4,4
242.93,28.36,1,3311.67,151.77,100.0,stable,21.820318,6889.4946,0,2,3,3,2
313.97,10.23,1,2067.71,185.72,100.0,stable,11.13348,3211.913,0,4,0,2,3
337.46,15.45,1,3583.46,230.46,100.0,stable,15.549162,5213.757,0,4,1,3,3
184.27,15.45,0,1068.49,91.62,100.0,stable,11.662191,2846.9714,0,1,1,1,1
129.16,29.73,0,977.63,58.82,100.0,stable,16.620707,3839.9268,0,0,4,1,0
160.4,19.89,0,1034.14,74.87,100.0,stable,13.812474,3190.3557,0,1,2,1,1
213.18,16.26,0,1503.24,124.23,100.0,stable,12.100458,3466.3066,0,2,1,2,2
316.77,29.15,1,5775.95,262.26,36.2,moderate,22.023754,9233.845,1,4,4,4,3
328.09,31.73,0,6688.62,395.07,0.0,severe,16.930214,10410.296,1,4,4,4,4
101.84,14.71,1,311.25,20.75,100.0,stable,15.0,1498.0664,0,0,1,0,0
235.35,34.56,0,3712.12,215.11,100.0,stable,17.256845,8133.697,0,2,4,3,3
210.61,21.07,0,1884.35,131.92,100.0,stable,14.284036,4437.5527,0,2,2,2,2
158.86,6.86,1,356.03,46.0,100.0,stable,7.739783,1089.7797,0,1,0,0,0
131.76,15.97,0,564.45,47.24,100.0,stable,11.948561,2104.207,0,0,1,0,0
189.47,21.33,0,1542.61,107.27,100.0,stable,14.380629,4041.395,0,1,2,2,1
349.87,29.79,0,7186.58,432.1,0.0,severe,16.631752,10422.628,1,4,4,4,4
185.65,26.28,0,1802.72,113.37,100.0,stable,15.901208,4878.882,0,1,3,2,1
237.48,10.99,0,1269.74,142.95,100.0,stable,8.882406,2609.905,0,2,0,1,2
286.3,17.71,0,2946.18,229.54,100.0,stable,12.835149,5070.3726,0,3,2,3,3
196.36,7.95,1,630.08,70.95,100.0,stable,8.880621,1561.062,0,1,0,0,1
357.52,31.32,0,7850.22,465.27,0.0,severe,16.872398,11197.526,1,4,4,4,4
355.05,5.11,0,1327.01,302.61,100.0,stable,4.3852158,1814.3055,0,4,0,1,4
166.72,12.82,0,728.79,72.15,100.0,stable,10.101039,2137.3503,0,1,1,0,1
231.77,27.87,0,2966.88,182.41,100.0,stable,16.264896,6459.43,0,2,3,3,3
179.73,5.66,0,376.45,77.82,100.0,stable,4.8374457,1017.2717,0,1,0,0,1
175.48,26.63,1,1630.9,76.51,100.0,stable,21.316168,4673.032,0,1,3,2,1
109.78,24.63,0,593.38,38.37,100.0,stable,15.464686,2703.8813,0,0,3,0,0
261.53,18.36,0,2546.08,193.72,100.0,stable,13.143093,4801.691,0,3,2,3,3
233.21,9.24,0,1031.89,135.15,100.0,stable,7.6351466,2154.8604,0,2,0,1,2
113.64,14.28,0,376.48,34.23,100.0,stable,10.99854,1622.7792,0,0,1,0,0
173.84,10.97,0,679.62,76.59,100.0,stable,8.873483,1907.0248,0,1,0,0,1
340.69,5.18,0,1237.81,278.75,100.0,stable,4.440574,1764.7742,0,4,0,1,4
163.48,16.03,0,872.16,72.79,100.0,stable,11.981865,2620.5845,0,1,1,1,1
138.4,32.07,1,1201.64,53.09,100.0,stable,22.634018,4438.488,0,0,4,1,0
229.7,19.39,0,2069.46,152.16,100.0,stable,13.600552,4453.883,0,2,2,2,2
361.2,23.02,1,6027.5,301.93,23.63,severe,19.963238,8314.824,1,4,2,4,4
164.14,33.24,0,1745.08,101.93,100.0,stable,17.120377,5456.0137,0,1,4,2,1
278.12,18.53,0,2903.89,219.69,100.0,stable,13.218125,5153.5635,0,3,2,3,3
301.83,22.5,0,4119.8,278.35,100.0,stable,14.800789,6791.175,0,3,2,4,4
162.97,7.77,0,424.31,65.06,100.0,stable,6.5218263,1266.2769,0,1,0,0,1
292.98,9.01,0,1588.45,212.79,100.0,stable,7.4648714,2639.75,0,3,0,2,3
197.46,22.52,0,1764.49,119.17,100.0,stable,14.806495,4446.7993,0,1,2,2,2
267.56,6.43,0,947.76,173.42,100.0,stable,5.4651136,1720.4108,0,3,0,1,2
267.89,6.07,0,897.21,173.38,100.0,stable,5.1748185,1626.0924,0,3,0,1,2
241.98,8.14,1,979.08,107.93,100.0,stable,9.071435,1969.7173,0,2,0,1,1
123.93,12.0,0,377.14,39.43,100.0,stable,9.564798,1487.16,0,0,1,0,0
321.36,7.93,0,1682.73,253.31,100.0,stable,6.642967,2548.3845,0,4,0,2,3
185.01,12.69,0,888.09,88.68,100.0,stable,10.014547,2347.7769,0,1,1,1,1
149.43,27.16,0,1204.22,74.75,100.0,stable,16.109966,4058.5186,0,0,3,1,1
110.81,17.47,0,435.46,34.24,100.0,stable,12.717873,1935.8506,0,0,2,0,0
256.59,24.92,0,3278.12,210.83,100.0,stable,15.548641,6394.2227,0,2,3,3,3
279.55,27.94,1,4325.71,199.3,100.0,stable,21.704515,7810.627,0,3,3,4,3
104.4,14.84,1,329.84,21.85,100.0,stable,15.095652,1549.296,0,0,1,0,0
235.7,31.82,0,3461.24,204.29,100.0,stable,16.942778,7499.9736,0,2,4,3,3
160.02,30.85,1,1551.24,69.24,100.0,stable,22.403814,4936.617,0,1,4,2,1
270.97,17.4,0,2593.81,204.53,100.0,stable,12.6818075,4714.878,0,3,2,3,3
146.21,29.76,1,1253.75,56.56,100.0,stable,22.166725,4351.21,0,0,4,1,0
283.1,15.11,0,2468.75,215.13,100.0,stable,11.475619,4277.641,0,3,1,3,3
202.48,26.7,0,2176.7,136.01,100.0,stable,16.003971,5406.216,0,1,3,2,2
348.23,34.13,0,8039.96,467.02,0.0,severe,17.215452,11885.091,1,4,4,4,4
136.44,14.35,0,545.02,49.39,100.0,stable,11.0350275,1957.9141,0,0,1,0,0
190.38,22.18,0,1616.45,110.06,100.0,stable,14.686989,4222.6284,0,1,2,2,1
130.07,15.81,1,544.58,34.43,100.0,stable,15.81702,2056.407,0,0,1,0,0
345.04,19.92,0,4792.86,346.65,85.36,mild,13.826222,6873.197,1,4,2,4,4
332.49,11.53,0,2611.81,282.13,100.0,stable,9.25747,3833.6096,0,4,1,3,4
168.35,17.85,1,1026.25,59.67,100.0,stable,17.198761,3005.0476,0,1,2,1,0
274.9,24.34,0,3679.57,239.23,100.0,stable,15.380889,6691.066,0,3,3,3,3
316.56,15.34,0,3132.14,269.95,100.0,stable,11.602666,4856.0303,0,4,1,3,4
247.13,13.67,0,1705.2,160.43,100.0,stable,10.628935,3378.267,0,2,1,2,2
240.36,14.93,0,1758.76,154.64,100.0,stable,11.373254,3588.575,0,2,1,2,2
164.09,14.37,0,789.64,71.47,100.0,stable,11.048552,2357.9731,0,1,1,1,1
124.67,9.81,0,312.98,38.86,100.0,stable,8.05404,1223.0127,0,0,0,0,0
337.76,32.19,0,7180.57,422.59,0.0,severe,16.991812,10872.494,1,4,4,4,4
338.61,33.67,0,7510.82,437.51,0.0,severe,17.167196,11400.998,1,4,4,4,4
267.77,12.94,1,1897.52,139.83,100.0,stable,13.570192,3464.9436,0,3,1,2,2
189.84,23.5,1,1698.02,84.19,100.0,stable,20.168903,4461.2397,0,1,3,2,1
192.54,14.45,0,1093.35,98.52,100.0,stable,11.097747,2782.203,0,1,1,1,1
292.38,22.4,0,3849.3,260.68,100.0,stable,14.766381,6549.312,0,3,2,3,3
337.73,13.8,1,3214.24,225.15,100.0,stable,14.275994,4660.6743,0,4,1,3,3
335.08,6.82,0,1576.33,272.81,100.0,stable,5.778124,2285.2456,0,4,0,2,4
306.67,9.49,1,1832.67,175.74,100.0,stable,10.428303,2910.2983,0,3,0,2,2
270.14,20.7,0,3047.13,215.52,100.0,stable,14.138501,5591.8984,0,3,2,3,3
122.3,12.48,0,381.92,38.64,100.0,stable,9.884058,1526.304,0,0,1,0,0
142.83,19.51,0,804.94,58.96,100.0,stable,13.652307,2786.6133,0,0,2,1,0
338.12,32.3,1,7218.02,318.33,0.0,severe,22.674646,10921.275,1,4,4,4,4
260.7,6.23,0,871.69,164.39,100.0,stable,5.302573,1624.1611,0,3,0,1,2
102.44,29.46,1,609.74,27.59,100.0,stable,22.100037,3017.8823,0,0,4,0,0
126.89,19.61,0,638.38,46.62,100.0,stable,13.693265,2488.313,0,0,2,0,0
275.83,9.63,0,1503.83,189.85,100.0,stable,7.921148,2656.243,0,3,0,2,3
101.34,11.96,1,251.56,19.77,100.0,stable,12.724329,1212.0264,0,0,1,0,0
142.61,34.73,0,1368.93,79.25,100.0,stable,17.273565,4952.845,0,0,4,1,1
245.41,15.43,0,1893.57,162.48,100.0,stable,11.654173,3786.6765,0,2,1,2,2
283.35,6.94,0,1146.89,195.27,100.0,stable,5.873355,1966.4491,0,3,0,1,3
272.77,22.57,0,3374.43,227.63,100.0,stable,14.824188,6156.4185,0,3,2,3,3
159.43,10.77,0,560.99,64.26,100.0,stable,8.730002,1717.061,0,1,0,0,1
288.73,31.95,1,5212.78,230.51,64.36,mild,22.614117,9224.924,1,3,4,4,3
162.87,15.64,1,844.88,53.85,100.0,stable,15.689508,2547.2869,0,1,1,1,0
186.23,23.55,1,1637.28,81.09,100.0,stable,20.1909,4385.7163,0,1,3,2,1
297.82,30.55,0,5326.02,317.87,58.7,moderate,16.75534,9098.401,1,3,4,4,4
272.15,34.52,0,4959.57,287.45,77.02,mild,17.253677,9394.618,1,3,4,4,4
325.04,33.75,0,6935.64,403.8,0.0,severe,17.17593,10970.101,1,4,4,4,4
274.27,8.37,0,1293.9,185.29,100.0,stable,6.983108,2295.64,0,3,0,1,3
250.6,15.13,0,1937.0,168.63,100.0,stable,11.486687,3791.5781,0,2,1,2,2
124.82,24.29,0,757.33,49.28,100.0,stable,15.367898,3031.878,0,0,3,0,0
197.44,8.73,1,698.8,72.27,100.0,stable,9.669296,1723.6511,0,1,0,0,1
170.28,16.48,0,972.03,79.55,100.0,stable,12.219108,2806.2144,0,1,1,1,1
164.66,33.51,0,1768.65,103.13,100.0,stable,17.149715,5517.7563,0,1,4,2,1
357.85,10.72,0,2815.02,323.55,100.0,stable,8.7004175,3836.152,0,4,0,3,4
204.17,19.91,0,1677.33,121.35,100.0,stable,13.822249,4065.0247,0,1,2,2,2
336.39,6.49,1,1510.39,205.67,100.0,stable,7.343755,2183.1711,0,4,0,2,3
267.25,24.2,0,3459.06,225.49,100.0,stable,15.340193,6467.45,0,3,3,3,3
310.62,22.8,0,4416.96,296.46,100.0,stable,14.899009,7082.1357,0,3,2,4,4
233.2,30.06,1,3218.57,144.75,100.0,stable,22.235373,7009.9917,0,2,4,3,2
252.88,31.16,0,3908.95,232.0,100.0,stable,16.848923,7879.7407,0,2,4,4,3
230.52,11.37,1,1238.01,101.5,100.0,stable,12.197143,2621.0125,0,2,1,1,1
151.74,30.78,0,1392.06,82.9,100.0,stable,16.79204,4670.5576,0,0,4,1,1
291.45,34.4,0,5670.17,328.86,41.49,moderate,17.241898,10025.881,1,3,4,4,4
174.4,31.54,0,1880.01,111.22,100.0,stable,16.903524,5500.576,0,1,4,2,1
106.44,30.91,1,687.68,30.68,100.0,stable,22.414602,3290.0605,0,0,4,0,0
271.05,22.16,0,3274.27,223.01,100.0,stable,14.682167,6006.468,0,3,2,3,3
146.93,24.65,0,1064.06,68.77,100.0,stable,15.472736,3621.8242,0,0,3,1,1
349.22,28.65,0,6908.03,420.66,0.0,severe,16.421885,10005.153,1,4,3,4,4
352.79,10.35,0,2641.21,313.08,100.0,stable,8.436214,3651.3767,0,4,0,3,4
342.44,34.32,0,7812.53,453.31,0.0,severe,17.23441,11752.541,1,4,4,4,4
198.09,13.94,1,1117.22,77.62,100.0,stable,14.393455,2761.3745,0,1,1,1,1
104.1,20.44,1,447.04,23.89,100.0,stable,18.712433,2127.804,0,0,2,0,0
346.0,21.45,1,5171.61,268.9,66.42,mild,19.232466,7421.7,1,4,2,4,4
213.47,30.1,0,2700.13,161.85,100.0,stable,16.682915,6425.4473,0,2,4,3,2
356.16,18.97,0,4872.39,363.12,81.38,mild,13.418127,6756.355,1,4,2,4,4
355.36,17.43,0,4470.07,351.97,100.0,stable,12.700145,6193.925,0,4,2,4,4
326.05,15.61,0,3380.71,287.61,100.0,stable,11.754495,5089.64,0,4,1,3,4
178.03,31.53,1,1958.5,86.9,100.0,stable,22.5374,5613.286,0,1,4,2,1
202.05,30.55,0,2451.64,146.31,100.0,stable,16.756475,6172.6274,0,1,4,3,2
325.55,17.87,0,3843.08,297.62,100.0,stable,12.912708,5817.5786,0,4,2,3,4
183.98,17.47,0,1200.62,94.41,100.0,stable,12.717085,3214.1304,0,1,2,1,1
144.92,10.68,0,459.63,53.03,100.0,stable,8.667358,1547.7456,0,0,0,0,0
247.55,20.1,1,2487.89,134.25,100.0,stable,18.531769,4975.7554,0,2,2,3,2
348.08,15.19,0,3750.53,325.61,100.0,stable,11.518474,5287.335,0,4,1,3,4
284.45,17.18,0,2823.72,224.56,100.0,stable,12.574457,4886.851,0,3,2,3,3
251.07,10.87,1,1404.89,119.66,100.0,stable,11.740682,2729.1309,0,2,0,1,2
125.75,23.46,1,743.83,36.91,100.0,stable,20.152534,2950.095,0,0,3,0,0
262.98,18.08,0,2536.17,194.91,100.0,stable,13.012005,4754.6787,0,3,2,3,3
362.36,32.19,1,8265.75,364.83,0.0,severe,22.656443,11664.367,1,4,4,4,4
137.12,17.79,0,678.6,52.72,100.0,stable,12.871775,2439.3647,0,0,2,0,0
237.36,28.65,1,3191.63,145.76,100.0,stable,21.896473,6800.364,0,2,3,3,2
332.5,22.84,0,5071.05,340.0,71.45,mild,14.914852,7594.3003,1,4,2,4,4
296.3,31.96,1,5491.37,242.81,50.43,moderate,22.615915,9469.747,1,3,4,4,3
284.71,30.8,0,4903.43,291.97,79.83,mild,16.794294,8769.067,1,3,4,4,4
286.16,30.92,1,4971.94,221.78,76.4,mild,22.418343,8848.067,1,3,4,4,3
195.27,34.35,1,2541.63,110.59,100.0,stable,22.982458,6707.5244,0,1,4,3,1
177.8,8.25,0,536.07,77.78,100.0,stable,6.892132,1466.85,0,1,0,0,1
314.48,13.32,0,2692.92,258.52,100.0,stable,10.416679,4188.8735,0,4,1,3,3
314.68,5.0,0,1020.52,237.56,100.0,stable,4.295841,1573.3999,0,4,0,1,3
329.77,29.19,0,6267.19,379.26,11.64,severe,16.524784,9625.986,1,4,4,4,4
342.01,25.9,0,6035.77,381.85,23.21,severe,15.806652,8858.06,1,4,3,4,4
235.51,32.92,1,3561.16,156.35,100.0,stable,22.776846,7752.989,0,2,4,3,2
232.9,26.24,1,2833.52,133.72,100.0,stable,21.189949,6111.296,0,2,3,3,2
311.55,6.77,1,1351.65,176.8,100.0,stable,7.645079,2109.1934,0,3,0,1,2
272.24,11.51,0,1746.81,189.07,100.0,stable,9.238959,3133.4824,0,3,1,2,3
286.02,7.78,0,1309.23,200.41,100.0,stable,6.5327578,2225.2356,0,3,0,1,3
310.89,5.49,0,1092.03,232.56,100.0,stable,4.6956916,1706.7861,0,3,0,1,3
335.85,13.16,0,3034.99,294.19,100.0,stable,10.316428,4419.786,0,4,1,3,4
189.57,22.38,0,1616.62,109.54,100.0,stable,14.758262,4242.5767,0,1,2,2,1
199.53,31.13,0,2431.84,144.37,100.0,stable,16.844498,6211.3687,0,1,4,3,2
124.91,24.91,0,776.49,49.95,100.0,stable,15.545345,3111.508,0,0,3,0,0
253.24,10.54,0,1386.58,161.7,100.0,stable,8.575015,2669.1497,0,2,0,1,2
109.52,19.43,1,471.45,25.96,100.0,stable,18.160633,2127.9736,0,0,2,0,0
223.38,11.88,0,1214.16,127.92,100.0,stable,9.491558,2653.7544,0,2,1,1,2
243.8,22.89,0,2731.71,182.96,100.0,stable,14.93064,5580.582,0,2,2,3,3
175.93,23.0,1,1428.88,71.61,100.0,stable,19.953638,4046.39,0,1,2,1,1
256.57,15.66,0,2099.83,178.23,100.0,stable,11.781575,4017.8862,0,2,1,2,2
108.08,10.0,1,239.72,21.95,100.0,stable,10.921185,1080.8,0,0,0,0,0
109.9,26.52,0,637.26,39.92,100.0,stable,15.963428,2914.548,0,0,3,0,0
317.99,13.98,0,2886.04,266.83,100.0,stable,10.816026,4445.5,0,4,1,3,4
195.45,32.86,1,2449.16,107.57,100.0,stable,22.768057,6422.487,0,1,4,3,1
133.67,16.81,0,610.65,49.29,100.0,stable,12.388923,2246.9927,0,0,1,0,0
238.39,5.23,1,612.45,102.4,100.0,stable,5.980957,1246.7797,0,2,0,0,1
304.05,21.2,0,3949.78,275.58,100.0,stable,14.332608,6445.86,0,3,2,4,4
