speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n,stability_index,stability_label
144.13,29.71,1,1216.35,54.9,100.0,stable
115.56,20.72,0,558.24,39.46,100.0,stable
213.72,10.3,0,964.52,114.83,100.0,stable
336.06,6.47,0,1504.18,273.66,100.0,stable
101.88,23.72,1,493.36,24.35,100.0,stable
357.64,28.46,0,7200.99,439.5,0.0,severe
331.44,23.47,1,5168.51,256.43,66.57,mild
224.32,28.4,1,2827.55,129.52,100.0,stable
253.52,20.14,0,2614.84,187.89,100.0,stable
309.05,33.25,0,6188.1,361.43,15.6,severe
342.07,24.1,0,5644.64,368.69,42.77,moderate
246.09,33.56,0,3955.62,230.58,100.0,stable
116.24,5.62,0,156.21,32.54,100.0,stable
274.06,17.64,0,2689.06,210.08,100.0,stable
362.73,29.1,1,7560.46,343.49,0.0,severe
311.26,14.67,0,2898.45,258.29,100.0,stable
171.97,8.33,0,506.51,72.82,100.0,stable
352.72,9.56,0,2441.88,310.21,100.0,stable
215.7,14.04,1,1333.72,92.16,100.0,stable
333.19,30.17,1,6592.28,296.15,0.0,severe
242.95,7.01,1,851.36,107.73,100.0,stable
179.04,33.26,0,2077.31,121.32,100.0,stable
234.04,6.06,0,683.63,132.33,100.0,stable
215.12,10.73,0,1017.76,116.93,100.0,stable
308.14,18.88,0,3630.94,271.38,100.0,stable
126.17,23.15,0,739.54,49.25,100.0,stable
129.8,20.59,0,700.0,49.66,100.0,stable
239.48,28.42,0,3224.35,196.89,100.0,stable
347.32,12.7,0,3132.34,312.59,100.0,stable
213.78,34.63,0,3068.77,177.76,100.0,stable
161.48,30.72,1,1573.61,70.32,100.0,stable
177.61,13.44,1,866.06,61.94,100.0,stable
140.8,26.38,1,1040.76,49.01,100.0,stable
235.47,9.81,0,1115.91,138.63,100.0,stable
137.32,16.36,0,627.54,51.63,100.0,stable
155.83,14.31,0,709.41,64.4,100.0,stable
330.66,31.39,0,6728.44,398.54,0.0,severe
177.7,12.32,0,796.36,81.42,100.0,stable
354.47,23.47,0,5912.11,391.1,29.39,severe
190.72,23.29,0,1698.92,112.82,100.0,stable
211.32,7.77,0,713.38,109.38,100.0,stable
221.54,8.69,0,875.72,121.26,100.0,stable
138.22,32.39,0,1209.23,71.06,100.0,stable
261.76,27.96,0,3796.17,233.11,100.0,stable
247.64,28.59,0,3467.2,211.28,100.0,stable
237.65,30.56,0,3393.03,202.47,100.0,stable
294.25,24.8,1,4290.9,207.44,100.0,stable
147.77,34.71,0,1469.08,85.06,100.0,stable
284.98,31.63,1,5031.95,223.1,73.4,mild
232.35,21.33,0,2320.26,161.33,100.0,stable
257.16,7.46,1,1014.25,121.16,100.0,stable
299.95,30.04,0,5321.53,319.17,58.92,moderate
324.64,24.0,1,5064.98,248.59,71.75,mild
246.04,13.47,0,1665.98,158.57,100.0,stable
249.09,28.47,0,3494.86,213.26,100.0,stable
198.39,5.19,0,420.32,94.53,100.0,stable
202.53,25.65,0,2097.78,133.25,100.0,stable
319.35,9.16,1,1919.04,189.91,100.0,stable
199.64,21.3,0,1710.7,119.04,100.0,stable
344.05,24.9,0,5888.63,378.89,30.57,moderate
141.32,17.58,0,712.53,55.8,100.0,stable
204.81,12.51,0,1073.6,108.43,100.0,stable
215.65,5.88,1,562.85,84.15,100.0,stable
243.42,6.11,0,745.41,143.19,100.0,stable
275.39,21.42,0,3272.49,227.01,100.0,stable
174.2,6.07,0,379.18,73.31,100.0,stable
278.17,20.24,0,3162.87,226.62,100.0,stable
179.21,31.68,0,1993.18,117.77,100.0,stable
325.24,32.06,0,6634.26,390.83,0.0,severe
345.29,13.54,0,3297.25,312.61,100.0,stable
301.36,8.87,0,1655.12,224.82,100.0,stable
282.5,10.46,0,1711.17,201.0,100.0,stable
197.74,23.88,1,1870.59,92.02,100.0,stable
333.04,12.02,1,2729.92,213.63,100.0,stable
114.59,10.31,0,277.76,33.02,100.0,stable
265.01,23.34,1,3287.53,163.54,100.0,stable
276.43,27.76,0,4204.86,258.9,100.0,stable
297.89,6.77,1,1235.35,161.64,100.0,stable
153.18,14.78,0,707.42,62.67,100.0,stable
283.74,10.75,1,1774.76,152.62,100.0,stable
164.44,22.38,1,1216.21,61.81,100.0,stable
233.75,12.61,0,1409.04,141.42,100.0,stable
266.2,25.9,0,3657.52,231.36,100.0,stable
313.98,33.35,1,6403.07,280.32,4.85,severe
216.76,20.55,0,1948.82,138.39,100.0,stable
116.2,30.05,1,798.77,35.93,100.0,stable
119.82,17.45,1,508.52,30.02,100.0,stable
125.82,12.57,1,407.09,30.71,100.0,stable
176.36,13.65,1,867.18,61.26,100.0,stable
144.43,23.21,1,971.46,48.46,100.0,stable
321.01,23.42,0,4839.76,320.46,83.01,mild
308.44,18.74,0,3611.37,271.22,100.0,stable
321.47,9.31,0,1975.62,256.99,100.0,stable
141.09,16.87,1,682.67,41.22,100.0,stable
115.44,32.37,0,843.08,49.55,100.0,stable
122.47,32.8,1,960.06,42.19,100.0,stable
170.46,30.27,0,1730.56,103.55,100.0,stable
115.78,32.19,0,843.69,49.65,100.0,stable
341.28,33.05,0,7505.06,438.95,0.0,severe
218.95,13.79,1,1349.74,94.61,100.0,stable
145.8,23.59,1,1005.09,49.74,100.0,stable
288.62,34.84,0,5622.4,325.32,43.88,moderate
305.15,11.87,0,2262.82,238.66,100.0,stable
334.69,34.16,0,7431.29,431.6,0.0,severe
283.91,23.31,0,3768.04,250.1,100.0,stable
153.08,21.79,0,1027.73,70.63,100.0,stable
319.95,22.6,0,4648.82,313.37,92.56,mild
131.97,6.16,0,220.94,42.1,100.0,stable
252.56,27.8,0,3514.79,216.3,100.0,stable
330.05,7.32,0,1640.24,265.77,100.0,stable
325.57,15.07,0,3255.45,284.32,100.0,stable
342.12,16.41,0,3907.52,320.74,100.0,stable
190.99,31.85,0,2274.04,134.19,100.0,stable
175.57,12.24,0,772.37,79.4,100.0,stable
282.84,26.44,0,4208.95,264.01,100.0,stable
160.72,8.42,0,447.05,63.66,100.0,stable
358.45,22.91,0,5910.77,395.68,29.46,severe
271.02,9.23,0,1391.95,182.5,100.0,stable
167.28,22.67,0,1274.22,85.77,100.0,stable
130.26,24.89,0,843.79,54.3,100.0,stable
239.18,20.38,0,2353.8,167.97,100.0,stable
260.99,26.37,0,3574.33,224.46,100.0,stable
103.12,28.6,0,601.46,36.64,100.0,stable
218.69,25.33,0,2417.22,154.37,100.0,stable
208.91,25.62,0,2229.44,141.69,100.0,stable
175.71,15.95,0,1002.45,83.98,100.0,stable
266.7,33.16,0,4596.54,268.64,95.17,stable
180.55,21.32,1,1400.1,73.04,100.0,stable
355.85,16.17,1,4166.82,259.24,100.0,stable
243.33,10.36,0,1258.03,148.97,100.0,stable
120.01,33.82,0,947.25,55.13,100.0,stable
183.82,13.25,0,914.77,88.23,100.0,stable
244.47,10.6,1,1299.33,113.09,100.0,stable
334.03,11.73,0,2680.81,285.47,100.0,stable
137.94,9.72,0,379.72,47.53,100.0,stable
195.7,6.63,0,522.14,92.92,100.0,stable
318.92,8.54,0,1784.73,250.94,100.0,stable
273.79,30.37,1,4477.6,200.76,100.0,stable
316.1,11.78,0,2410.87,255.8,100.0,stable
184.42,26.83,1,1813.75,84.84,100.0,stable
129.7,20.6,0,699.28,49.59,100.0,stable
190.55,16.37,0,1208.81,99.43,100.0,stable
323.95,16.34,1,3488.87,215.44,100.0,stable
159.67,22.25,0,1140.44,77.51,100.0,stable
249.02,7.91,1,1007.74,114.06,100.0,stable
300.91,5.76,0,1073.72,218.28,100.0,stable
200.83,18.88,1,1542.41,86.46,100.0,stable
195.07,10.0,1,780.7,71.51,100.0,stable
168.74,13.32,1,775.31,55.82,100.0,stable
328.33,24.02,1,5185.13,254.38,65.74,mild
166.61,18.12,1,1020.28,58.72,100.0,stable
234.39,14.57,0,1632.5,146.24,100.0,stable
148.12,7.25,0,327.07,53.5,100.0,stable
194.85,34.77,1,2558.37,111.06,100.0,stable
196.17,8.25,0,652.33,94.68,100.0,stable
209.25,16.87,0,1501.59,120.9,100.0,stable
123.46,33.48,0,993.36,57.93,100.0,stable
205.93,5.66,1,493.93,76.62,100.0,stable
121.97,11.63,0,354.38,38.01,100.0,stable
192.92,21.49,0,1611.21,111.56,100.0,stable
241.5,33.77,0,3830.05,222.97,100.0,stable
327.07,29.27,0,6179.36,373.63,16.03,severe
250.69,23.11,0,2914.55,194.27,100.0,stable
180.0,24.78,0,1604.8,103.48,100.0,stable
217.34,9.19,1,891.0,87.99,100.0,stable
295.14,26.37,0,4570.91,287.04,96.45,stable
132.52,25.35,0,888.54,56.72,100.0,stable
273.13,10.12,0,1548.62,187.16,100.0,stable
304.43,15.3,0,2888.53,249.48,100.0,stable
295.35,11.58,0,2068.52,222.74,100.0,stable
155.73,33.1,0,1564.64,91.48,100.0,stable
237.39,29.79,0,3307.67,198.89,100.0,stable
253.9,7.29,0,966.63,157.24,100.0,stable
348.6,7.69,0,1920.4,297.43,100.0,stable
133.0,14.5,0,523.4,47.04,100.0,stable
290.59,23.26,0,3940.25,261.78,100.0,stable
358.29,16.32,0,4261.47,351.23,100.0,stable
107.95,34.83,0,786.31,45.5,100.0,stable
193.79,24.18,1,1817.9,88.9,100.0,stable
151.57,32.98,1,1477.75,64.85,100.0,stable
176.4,28.75,1,1768.52,80.67,100.0,stable
136.39,20.7,1,776.8,41.2,100.0,stable
249.17,30.69,1,3744.45,167.38,100.0,stable
167.07,5.54,1,318.52,50.39,100.0,stable
353.38,18.21,1,4610.72,264.54,94.46,mild
277.41,10.63,0,1677.84,194.24,100.0,stable
191.57,12.73,1,955.18,71.35,100.0,stable
289.15,28.31,0,4684.78,286.44,90.76,mild
297.75,14.14,1,2559.2,175.88,100.0,stable
320.49,18.97,0,3944.14,293.99,100.0,stable
194.9,18.09,0,1393.28,107.06,100.0,stable
151.04,6.26,1,293.91,41.39,100.0,stable
149.67,24.79,0,1109.61,71.54,100.0,stable
250.36,23.36,1,2937.11,146.04,100.0,stable
206.43,24.29,0,2071.08,134.77,100.0,stable
130.34,8.64,1,301.64,31.47,100.0,stable
113.2,28.65,1,725.87,33.15,100.0,stable
304.12,24.28,0,4493.69,292.47,100.0,stable
310.28,26.47,0,5070.5,317.91,71.47,mild
183.96,11.01,0,763.75,85.8,100.0,stable
246.1,34.01,0,4002.43,232.67,100.0,stable
307.94,22.21,1,4234.95,216.08,100.0,stable
285.68,11.2,0,1873.71,207.41,100.0,stable
206.79,19.93,0,1722.09,124.53,100.0,stable
182.55,27.24,0,1802.24,111.75,100.0,stable
292.37,24.59,0,4202.58,271.94,100.0,stable
203.64,22.56,0,1879.93,126.85,100.0,stable
214.12,34.14,0,3040.13,176.59,100.0,stable
177.78,12.56,0,812.16,81.75,100.0,stable
244.13,11.01,0,1344.45,151.11,100.0,stable
355.79,22.01,1,5606.03,287.38,44.7,moderate
153.25,23.97,0,1127.05,73.81,100.0,stable
294.61,7.16,0,1277.86,211.48,100.0,stable
188.06,31.83,0,2203.77,130.06,100.0,stable
121.26,27.42,0,800.04,49.48,100.0,stable
195.28,31.08,0,2325.95,138.14,100.0,stable
295.15,6.51,0,1167.4,211.14,100.0,stable
260.77,29.38,1,3941.59,178.53,100.0,stable
294.33,15.08,0,2662.64,232.42,100.0,stable
183.39,31.0,0,2046.65,121.64,100.0,stable
322.0,5.75,1,1226.84,187.44,100.0,stable
133.64,7.96,0,292.06,43.82,100.0,stable
259.43,18.08,0,2468.27,189.69,100.0,stable
285.99,18.94,0,3137.25,234.01,100.0,stable
125.3,8.51,1,274.53,29.05,100.0,stable
294.78,22.79,0,3977.51,266.98,100.0,stable
135.2,30.71,0,1102.94,65.72,100.0,stable
329.19,24.62,1,5333.88,258.71,58.31,moderate
280.45,25.79,0,4042.72,256.21,100.0,stable
250.41,32.34,0,3962.95,232.97,100.0,stable
334.52,27.92,0,6191.11,380.4,15.44,severe
284.78,17.23,1,2838.75,168.96,100.0,stable
169.73,10.0,0,591.02,72.18,100.0,stable
318.22,22.7,0,4617.43,310.57,94.13,mild
364.51,9.54,0,2602.67,331.23,100.0,stable
134.05,22.64,0,817.14,55.04,100.0,stable
224.21,19.48,1,1981.0,108.92,100.0,stable
325.02,30.88,0,6405.63,381.13,4.72,severe
107.97,7.08,0,169.79,28.39,100.0,stable
259.05,30.56,0,4031.69,240.58,100.0,stable
264.86,23.69,0,3329.96,219.29,100.0,stable
319.42,25.8,0,5247.45,332.47,62.63,mild
282.68,20.42,0,3294.07,234.79,100.0,stable
194.44,29.56,0,2203.85,132.83,100.0,stable
165.1,15.67,0,869.8,73.81,100.0,stable
198.43,34.31,0,2622.5,152.18,100.0,stable
236.58,31.84,0,3488.57,205.87,100.0,stable
262.41,26.9,0,3681.01,229.33,100.0,stable
328.37,31.55,0,6666.71,394.35,0.0,severe
150.27,22.14,1,1005.25,51.38,100.0,stable
251.91,17.5,1,2254.13,132.8,100.0,stable
141.83,8.48,0,350.48,49.6,100.0,stable
272.84,17.16,0,2594.6,206.53,100.0,stable
256.99,9.26,0,1256.22,164.16,100.0,stable
118.39,12.49,0,358.18,36.22,100.0,stable
317.7,26.36,0,5294.3,332.52,60.28,mild
289.65,23.56,0,3962.33,261.61,100.0,stable
331.13,9.07,0,2042.91,271.99,100.0,stable
219.01,18.14,1,1764.59,101.49,100.0,stable
337.94,11.8,0,2759.56,292.44,100.0,stable
125.27,27.7,0,861.77,53.1,100.0,stable
275.74,14.61,0,2265.63,202.52,100.0,stable
173.78,29.74,0,1770.16,106.49,100.0,stable
265.62,23.94,0,3382.39,221.62,100.0,stable
221.37,28.27,0,2742.75,167.77,100.0,stable
345.32,8.53,0,2090.46,294.19,100.0,stable
138.98,5.89,0,234.1,46.6,100.0,stable
290.76,17.98,0,3083.74,237.85,100.0,stable
281.04,28.78,1,4493.04,204.88,100.0,stable
168.05,15.33,0,882.41,76.07,100.0,stable
272.72,13.22,1,2010.11,145.61,100.0,stable
197.66,17.02,1,1350.93,81.1,100.0,stable
322.48,14.27,1,3029.37,206.72,100.0,stable
118.16,17.72,0,502.2,39.11,100.0,stable
299.6,17.87,0,3254.07,252.05,100.0,stable
281.37,32.93,1,5085.3,223.25,70.74,mild
273.63,34.34,0,4990.62,289.54,75.47,mild
110.82,33.9,1,809.33,35.31,100.0,stable
280.93,26.71,1,4190.72,196.37,100.0,stable
319.3,11.28,1,2355.99,194.52,100.0,stable
165.17,14.09,0,784.8,72.11,100.0,stable
229.27,24.4,0,2565.64,166.61,100.0,stable
281.99,10.76,0,1754.09,201.01,100.0,stable
117.75,24.8,0,687.14,44.29,100.0,stable
196.38,32.29,0,2434.4,143.16,100.0,stable
151.84,27.9,0,1274.51,78.33,100.0,stable
201.28,22.4,1,1824.38,92.66,100.0,stable
350.36,32.3,0,7749.45,455.69,0.0,severe
169.82,14.56,1,856.81,57.58,100.0,stable
351.73,18.33,0,4597.08,350.17,95.15,stable
221.18,23.25,1,2282.08,113.73,100.0,stable
324.4,11.06,1,2384.57,200.22,100.0,stable
170.95,19.38,1,1145.94,63.2,100.0,stable
336.9,8.55,1,1994.49,210.06,100.0,stable
286.77,26.64,0,4357.16,272.48,100.0,stable
182.09,17.13,1,1153.53,68.95,100.0,stable
305.85,19.82,0,3747.87,271.88,100.0,stable
230.52,16.49,0,1782.58,145.81,100.0,stable
323.71,22.47,0,4732.73,319.98,88.36,mild
362.66,20.4,0,5417.05,386.32,54.15,moderate
313.13,15.1,0,3018.47,263.16,100.0,stable
128.96,27.63,0,911.19,56.2,100.0,stable
272.58,14.81,0,2243.86,198.52,100.0,stable
129.81,20.86,1,708.89,37.44,100.0,stable
107.42,28.11,1,642.31,29.53,100.0,stable
106.55,26.35,1,595.48,28.05,100.0,stable
254.5,9.45,1,1256.95,120.98,100.0,stable
255.25,6.86,0,919.35,158.35,100.0,stable
343.84,22.28,0,5295.33,359.66,60.23,mild
144.25,26.93,0,1113.46,69.34,100.0,stable
350.76,22.02,0,5450.55,372.47,52.47,moderate
258.25,29.98,0,3937.31,236.29,100.0,stable
311.74,23.18,1,4520.04,225.62,99.0,stable
104.15,13.16,0,291.87,28.29,100.0,stable
180.29,23.28,0,1517.97,100.81,100.0,stable
299.1,17.58,0,3192.91,249.98,100.0,stable
115.21,19.5,0,523.39,38.35,100.0,stable
144.91,34.57,1,1407.65,61.17,100.0,stable
353.19,31.82,0,7770.42,458.64,0.0,severe
208.0,28.93,0,2473.04,150.09,100.0,stable
151.63,19.69,0,915.36,66.67,100.0,stable
310.92,7.44,1,1479.36,177.07,100.0,stable
155.27,13.46,0,663.19,63.15,100.0,stable
317.92,16.53,1,3398.54,208.15,100.0,stable
154.56,7.71,1,378.58,43.86,100.0,stable
362.67,32.42,0,8331.23,489.46,0.0,severe
100.95,10.84,0,226.46,25.79,100.0,stable
266.25,9.89,0,1438.98,177.4,100.0,stable
323.25,10.72,0,2296.31,264.0,100.0,stable
121.33,32.23,0,927.69,54.58,100.0,stable
140.06,26.75,1,1043.28,48.86,100.0,stable
234.23,18.27,0,2032.67,155.14,100.0,stable
232.66,13.7,0,1514.51,142.26,100.0,stable
161.6,8.19,1,439.43,48.16,100.0,stable
173.89,32.06,0,1896.27,111.71,100.0,stable
244.03,11.8,0,1439.17,152.5,100.0,stable
329.71,22.19,0,4850.84,330.16,82.46,mild
167.04,15.35,1,872.74,56.38,100.0,stable
311.14,13.69,0,2707.92,254.41,100.0,stable
172.56,13.55,1,824.29,58.56,100.0,stable
101.88,17.21,0,362.94,28.82,100.0,stable
272.24,9.54,0,1450.8,184.75,100.0,stable
304.63,22.92,1,4269.84,214.35,100.0,stable
259.79,11.28,0,1560.4,171.7,100.0,stable
333.95,21.7,0,4872.83,335.61,81.36,mild
269.21,9.99,0,1485.26,181.56,100.0,stable
181.74,33.78,0,2169.82,126.31,100.0,stable
107.64,26.99,0,621.31,38.66,100.0,stable
290.79,26.89,1,4518.38,211.17,99.08,stable
234.72,22.98,0,2541.47,169.88,100.0,stable
327.65,13.13,0,2880.48,279.85,100.0,stable
190.3,15.74,1,1161.01,73.63,100.0,stable
145.93,19.97,0,859.28,62.06,100.0,stable
360.08,19.02,1,4992.55,278.6,75.37,mild
219.2,18.96,1,1844.58,103.14,100.0,stable
303.04,21.31,0,3942.48,274.3,100.0,stable
358.52,16.34,0,4274.0,351.86,100.0,stable
260.4,20.32,1,2781.89,149.15,100.0,stable
254.1,31.76,1,4015.34,177.83,100.0,stable
123.87,24.64,0,755.77,48.86,100.0,stable
353.2,8.19,0,2100.33,306.76,100.0,stable
307.74,21.7,0,4136.35,284.95,100.0,stable
346.17,14.5,0,3545.59,318.69,100.0,stable
171.87,14.24,0,858.63,78.25,100.0,stable
190.15,19.94,0,1457.13,105.32,100.0,stable
166.14,20.83,0,1159.76,81.72,100.0,stable
157.04,29.9,0,1452.3,87.23,100.0,stable
359.67,28.45,0,7281.89,444.46,0.0,severe
357.61,31.2,1,7828.3,348.32,0.0,severe
344.45,27.52,1,6477.51,300.07,1.12,severe
287.67,13.85,0,2340.43,217.96,100.0,stable
364.24,31.49,0,8188.61,484.61,0.0,severe
180.85,15.12,0,1007.84,87.8,100.0,stable
341.38,18.17,0,4293.22,328.93,100.0,stable
207.95,34.47,1,2891.88,125.74,100.0,stable
140.75,10.92,1,443.57,37.63,100.0,stable
334.97,10.41,1,2395.85,211.85,100.0,stable
148.9,8.63,0,393.25,54.75,100.0,stable
194.52,30.54,0,2271.42,135.57,100.0,stable
352.97,25.21,1,6269.92,300.92,11.5,severe
201.43,10.35,0,861.63,102.07,100.0,stable
288.15,11.93,0,2028.19,212.98,100.0,stable
306.0,17.24,0,3279.2,260.14,100.0,stable
347.74,10.52,1,2608.0,228.6,100.0,stable
273.19,30.6,1,4489.23,200.84,100.0,stable
265.32,25.38,0,3564.67,227.46,100.0,stable
346.29,18.2,1,4425.58,254.0,100.0,stable
299.52,5.19,1,958.6,161.59,100.0,stable
173.26,34.04,0,1985.63,115.4,100.0,stable
150.77,17.4,0,803.01,63.32,100.0,stable
129.36,21.48,0,723.98,50.15,100.0,stable
127.41,15.59,0,515.61,43.9,100.0,stable
341.72,34.58,0,7830.99,453.73,0.0,severe
332.47,7.5,0,1704.81,270.11,100.0,stable
317.7,13.32,1,2748.46,197.88,100.0,stable
320.2,16.8,1,3502.03,212.08,100.0,stable
135.64,28.34,1,1031.89,47.3,100.0,stable
106.17,13.83,0,318.4,29.68,100.0,stable
187.27,21.98,0,1550.58,106.08,100.0,stable
213.98,6.97,1,656.82,83.54,100.0,stable
295.38,33.21,0,5645.57,329.85,42.72,moderate
253.97,16.85,0,2209.19,178.03,100.0,stable
184.37,17.06,1,1178.08,70.61,100.0,stable
294.15,18.03,0,3163.77,243.62,100.0,stable
148.94,17.67,1,795.71,46.56,100.0,stable
281.69,25.63,0,4055.53,257.67,100.0,stable
137.42,11.63,0,449.89,48.25,100.0,stable
297.47,27.28,0,4792.63,296.98,85.37,mild
275.15,27.26,0,4096.47,253.94,100.0,stable
123.69,9.45,0,296.9,38.1,100.0,stable
306.47,25.19,0,4722.59,302.34,88.87,mild
335.49,19.8,0,4504.76,327.01,99.76,stable
296.28,28.38,0,4930.42,301.18,78.48,mild
311.88,11.14,1,2220.73,185.27,100.0,stable
342.69,9.0,0,2169.85,291.08,100.0,stable
216.94,32.9,0,3020.85,176.86,100.0,stable
244.29,21.64,0,2600.75,179.39,100.0,stable
190.33,18.77,1,1377.55,77.5,100.0,stable
126.86,14.48,0,475.37,42.78,100.0,stable
331.06,22.24,0,4900.35,333.17,79.98,mild
225.27,12.96,0,1344.53,131.98,100.0,stable
350.41,28.52,1,6927.41,316.85,0.0,severe
314.35,25.96,0,5110.01,322.97,69.5,mild
185.61,13.61,1,957.52,67.82,100.0,stable
206.42,11.61,0,1013.62,108.85,100.0,stable
300.04,25.88,1,4642.9,220.35,92.86,mild
234.38,12.72,1,1429.17,106.8,100.0,stable
345.53,26.92,0,6386.72,397.79,5.66,severe
190.96,11.95,0,891.93,93.56,100.0,stable
274.06,13.41,1,2057.75,147.43,100.0,stable
247.63,31.21,1,3754.17,167.03,100.0,stable
344.44,25.61,1,6058.33,288.82,22.08,severe
302.35,6.32,0,1189.7,221.26,100.0,stable
243.18,17.34,0,2082.52,164.57,100.0,stable
175.14,11.51,0,723.4,78.26,100.0,stable
169.21,18.31,1,1062.54,60.75,100.0,stable
107.77,6.43,0,153.77,28.13,100.0,stable
135.63,15.67,0,586.98,49.81,100.0,stable
131.44,9.57,0,339.28,43.08,100.0,stable
284.21,34.25,0,5371.95,311.82,56.4,moderate
154.7,7.46,1,367.31,43.85,100.0,stable
320.54,32.93,1,6599.27,289.72,0.0,severe
254.85,27.9,0,3591.05,220.69,100.0,stable
178.27,7.05,0,461.06,77.36,100.0,stable
312.88,7.58,0,1525.03,239.38,100.0,stable
113.69,18.05,0,473.22,36.41,100.0,stable
318.73,25.45,0,5158.62,328.74,67.07,mild
347.57,16.92,1,4154.08,250.37,100.0,stable
235.16,16.74,0,1881.69,152.35,100.0,stable
201.03,8.49,1,704.69,74.75,100.0,stable
344.69,26.21,0,6199.96,390.29,15.0,severe
125.22,31.55,0,969.42,57.34,100.0,stable
161.07,30.51,0,1556.06,92.9,100.0,stable
359.79,28.24,1,7236.78,332.14,0.0,severe
188.7,6.92,1,506.96,64.94,100.0,stable
356.94,11.7,1,3053.67,244.38,100.0,stable
182.79,22.78,0,1528.74,102.63,100.0,stable
155.13,13.57,0,667.14,63.13,100.0,stable
282.06,32.02,0,4984.58,293.73,75.77,mild
143.25,21.76,0,898.74,61.81,100.0,stable
251.04,16.83,1,2155.67,130.42,100.0,stable
265.29,33.62,0,4604.16,268.28,94.79,mild
239.1,10.52,1,1233.35,108.07,100.0,stable
189.1,27.74,1,1966.4,90.83,100.0,stable
310.17,18.65,0,3634.94,273.83,100.0,stable
223.73,26.37,1,2627.04,123.72,100.0,stable
270.18,22.65,1,3321.45,167.74,100.0,stable
193.49,15.24,0,1162.43,100.69,100.0,stable
138.43,31.14,0,1170.88,69.5,100.0,stable
152.75,30.89,0,1415.49,84.21,100.0,stable
252.13,30.93,0,3860.98,229.61,100.0,stable
335.59,7.51,1,1738.55,206.41,100.0,stable
270.31,28.76,1,4153.18,189.44,100.0,stable
146.21,7.36,0,323.75,52.18,100.0,stable
137.23,15.83,0,607.15,51.13,100.0,stable
114.72,25.0,0,657.15,42.21,100.0,stable
187.31,19.34,1,1372.66,75.82,100.0,stable
182.95,11.39,0,780.68,85.26,100.0,stable
325.85,24.55,1,5212.84,253.16,64.36,mild
142.42,14.59,0,603.74,54.02,100.0,stable
314.41,22.1,0,4394.76,299.74,100.0,stable
283.41,7.07,0,1167.71,195.55,100.0,stable
321.24,32.04,1,6468.18,285.83,1.59,severe
356.6,30.03,1,7520.34,338.3,0.0,severe
102.4,28.8,0,596.85,36.28,100.0,stable
268.27,32.44,0,4562.01,267.97,96.9,stable
296.12,30.12,1,5199.27,233.68,65.04,mild
286.2,11.76,0,1972.6,209.64,100.0,stable
138.58,34.67,1,1290.76,56.06,100.0,stable
297.52,7.21,0,1311.96,215.75,100.0,stable
289.86,29.56,0,4897.76,295.19,80.11,mild
331.49,24.75,0,5434.59,350.65,53.27,moderate
148.4,22.52,0,996.59,67.31,100.0,stable
302.71,32.56,0,5826.44,341.96,33.68,moderate
283.52,32.99,1,5171.54,226.94,66.42,mild
230.69,6.29,0,689.37,128.77,100.0,stable
346.27,14.1,0,3451.23,316.96,100.0,stable
357.91,16.09,0,4194.84,349.21,100.0,stable
253.19,29.19,0,3694.13,223.55,100.0,stable
212.36,19.29,0,1760.4,129.83,100.0,stable
219.05,31.62,0,2972.21,175.71,100.0,stable
