speed_kmh,wing_angle_deg,drs_active,downforce_n,drag_n,stability_index
243.81,27.38,1,3229.99,149.92,100.0
137.34,22.74,0,861.6,57.9,100.0
312.58,12.0,0,2400.31,250.85,100.0
119.76,32.96,0,921.85,53.95,100.0
361.53,5.35,0,1439.45,314.22,100.0
304.64,25.57,1,4732.47,225.76,88.38
152.66,21.3,0,1000.29,69.61,100.0
101.46,20.94,0,434.77,30.54,100.0
316.1,21.54,0,4334.49,299.77,100.0
287.32,19.6,1,3271.66,179.23,100.0
293.19,33.39,1,5589.94,244.64,45.5
304.39,23.56,0,4375.97,288.91,100.0
119.62,18.78,1,544.34,30.62,100.0
194.99,30.8,1,2300.43,102.73,100.0
130.71,31.69,0,1060.35,62.65,100.0
328.72,28.23,1,6039.51,277.22,23.02
265.17,22.21,0,3141.07,213.66,100.0
187.69,6.28,0,455.36,85.24,100.0
116.84,32.3,0,862.01,50.69,100.0
182.41,29.53,1,1937.49,87.62,100.0
186.17,33.01,0,2230.74,130.51,100.0
293.35,9.04,1,1596.8,160.03,100.0
268.95,33.83,0,4758.69,276.92,87.07
335.11,33.97,0,7414.02,431.08,0.0
225.14,18.6,0,1910.32,144.15,100.0
131.69,7.23,0,257.93,42.28,100.0
289.01,23.66,0,3959.79,260.93,100.0
301.61,23.79,0,4335.13,284.9,100.0
248.74,20.92,0,2609.97,183.48,100.0
304.31,14.84,0,2803.05,247.55,100.0
230.86,7.15,0,784.24,129.84,100.0
238.52,21.87,0,2504.16,171.76,100.0
213.3,14.43,0,1339.11,120.85,100.0
106.74,7.99,1,187.1,20.97,100.0
128.59,10.71,1,363.03,31.33,100.0
108.33,28.72,0,666.17,40.53,100.0
268.65,29.19,0,4159.2,251.69,100.0
183.3,28.03,0,1865.53,114.46,100.0
234.77,7.27,0,824.64,134.42,100.0
340.51,8.32,1,1981.68,214.08,100.0
166.06,12.0,0,677.31,70.8,100.0
208.75,34.38,0,2907.46,168.65,100.0
300.22,13.25,1,2440.29,176.52,100.0
160.63,33.04,0,1662.31,97.23,100.0
120.4,24.78,0,717.75,46.29,100.0
176.78,5.82,0,374.53,75.37,100.0
142.72,19.62,1,808.23,44.24,100.0
346.37,30.08,0,7105.23,425.96,0.0
314.15,6.91,0,1402.08,239.96,100.0
267.85,23.3,1,3352.58,166.93,100.0
330.94,14.61,0,3264.87,291.75,100.0
312.97,11.01,0,2209.93,248.34,100.0
149.44,20.85,0,939.34,66.15,100.0
336.53,28.88,0,6462.47,392.46,1.88
242.93,28.36,1,3311.67,151.77,100.0
313.97,10.23,1,2067.71,185.72,100.0
337.46,15.45,1,3583.46,230.46,100.0
184.27,15.45,0,1068.49,91.62,100.0
129.16,29.73,0,977.63,58.82,100.0
160.4,19.89,0,1034.14,74.87,100.0
213.18,16.26,0,1503.24,124.23,100.0
316.77,29.15,1,5775.95,262.26,36.2
328.09,31.73,0,6688.62,395.07,0.0
101.84,14.71,1,311.25,20.75,100.0
235.35,34.56,0,3712.12,215.11,100.0
210.61,21.07,0,1884.35,131.92,100.0
158.86,6.86,1,356.03,46.0,100.0
131.76,15.97,0,564.45,47.24,100.0
189.47,21.33,0,1542.61,107.27,100.0
349.87,29.79,0,7186.58,432.1,0.0
185.65,26.28,0,1802.72,113.37,100.0
237.48,10.99,0,1269.74,142.95,100.0
286.3,17.71,0,2946.18,229.54,100.0
196.36,7.95,1,630.08,70.95,100.0
357.52,31.32,0,7850.22,465.27,0.0
355.05,5.11,0,1327.01,302.61,100.0
166.72,12.82,0,728.79,72.15,100.0
231.77,27.87,0,2966.88,182.41,100.0
179.73,5.66,0,376.45,77.82,100.0
175.48,26.63,1,1630.9,76.51,100.0
109.78,24.63,0,593.38,38.37,100.0
261.53,18.36,0,2546.08,193.72,100.0
233.21,9.24,0,1031.89,135.15,100.0
113.64,14.28,0,376.48,34.23,100.0
173.84,10.97,0,679.62,76.59,100.0
340.69,5.18,0,1237.81,278.75,100.0
163.48,16.03,0,872.16,72.79,100.0
138.4,32.07,1,1201.64,53.09,100.0
229.7,19.39,0,2069.46,152.16,100.0
361.2,23.02,1,6027.5,301.93,23.63
164.14,33.24,0,1745.08,101.93,100.0
278.12,18.53,0,2903.89,219.69,100.0
301.83,22.5,0,4119.8,278.35,100.0
162.97,7.77,0,424.31,65.06,100.0
292.98,9.01,0,1588.45,212.79,100.0
197.46,22.52,0,1764.49,119.17,100.0
267.56,6.43,0,947.76,173.42,100.0
267.89,6.07,0,897.21,173.38,100.0
241.98,8.14,1,979.08,107.93,100.0
123.93,12.0,0,377.14,39.43,100.0
321.36,7.93,0,1682.73,253.31,100.0
185.01,12.69,0,888.09,88.68,100.0
149.43,27.16,0,1204.22,74.75,100.0
110.81,17.47,0,435.46,34.24,100.0
256.59,24.92,0,3278.12,210.83,100.0
279.55,27.94,1,4325.71,199.3,100.0
104.4,14.84,1,329.84,21.85,100.0
235.7,31.82,0,3461.24,204.29,100.0
160.02,30.85,1,1551.24,69.24,100.0
270.97,17.4,0,2593.81,204.53,100.0
146.21,29.76,1,1253.75,56.56,100.0
283.1,15.11,0,2468.75,215.13,100.0
202.48,26.7,0,2176.7,136.01,100.0
348.23,34.13,0,8039.96,467.02,0.0
136.44,14.35,0,545.02,49.39,100.0
190.38,22.18,0,1616.45,110.06,100.0
130.07,15.81,1,544.58,34.43,100.0
345.04,19.92,0,4792.86,346.65,85.36
332.49,11.53,0,2611.81,282.13,100.0
168.35,17.85,1,1026.25,59.67,100.0
274.9,24.34,0,3679.57,239.23,100.0
316.56,15.34,0,3132.14,269.95,100.0
247.13,13.67,0,1705.2,160.43,100.0
240.36,14.93,0,1758.76,154.64,100.0
164.09,14.37,0,789.64,71.47,100.0
124.67,9.81,0,312.98,38.86,100.0
337.76,32.19,0,7180.57,422.59,0.0
338.61,33.67,0,7510.82,437.51,0.0
267.77,12.94,1,1897.52,139.83,100.0
189.84,23.5,1,1698.02,84.19,100.0
192.54,14.45,0,1093.35,98.52,100.0
292.38,22.4,0,3849.3,260.68,100.0
337.73,13.8,1,3214.24,225.15,100.0
335.08,6.82,0,1576.33,272.81,100.0
306.67,9.49,1,1832.67,175.74,100.0
270.14,20.7,0,3047.13,215.52,100.0
122.3,12.48,0,381.92,38.64,100.0
142.83,19.51,0,804.94,58.96,100.0
338.12,32.3,1,7218.02,318.33,0.0
260.7,6.23,0,871.69,164.39,100.0
102.44,29.46,1,609.74,27.59,100.0
126.89,19.61,0,638.38,46.62,100.0
275.83,9.63,0,1503.83,189.85,100.0
101.34,11.96,1,251.56,19.77,100.0
142.61,34.73,0,1368.93,79.25,100.0
245.41,15.43,0,1893.57,162.48,100.0
283.35,6.94,0,1146.89,195.27,100.0
272.77,22.57,0,3374.43,227.63,100.0
159.43,10.77,0,560.99,64.26,100.0
288.73,31.95,1,5212.78,230.51,64.36
162.87,15.64,1,844.88,53.85,100.0
186.23,23.55,1,1637.28,81.09,100.0
297.82,30.55,0,5326.02,317.87,58.7
272.15,34.52,0,4959.57,287.45,77.02
325.04,33.75,0,6935.64,403.8,0.0
274.27,8.37,0,1293.9,185.29,100.0
250.6,15.13,0,1937.0,168.63,100.0
124.82,24.29,0,757.33,49.28,100.0
197.44,8.73,1,698.8,72.27,100.0
170.28,16.48,0,972.03,79.55,100.0
164.66,33.51,0,1768.65,103.13,100.0
357.85,10.72,0,2815.02,323.55,100.0
204.17,19.91,0,1677.33,121.35,100.0
336.39,6.49,1,1510.39,205.67,100.0
267.25,24.2,0,3459.06,225.49,100.0
310.62,22.8,0,4416.96,296.46,100.0
233.2,30.06,1,3218.57,144.75,100.0
252.88,31.16,0,3908.95,232.0,100.0
230.52,11.37,1,1238.01,101.5,100.0
151.74,30.78,0,1392.06,82.9,100.0
291.45,34.4,0,5670.17,328.86,41.49
174.4,31.54,0,1880.01,111.22,100.0
106.44,30.91,1,687.68,30.68,100.0
271.05,22.16,0,3274.27,223.01,100.0
146.93,24.65,0,1064.06,68.77,100.0
349.22,28.65,0,6908.03,420.66,0.0
352.79,10.35,0,2641.21,313.08,100.0
342.44,34.32,0,7812.53,453.31,0.0
198.09,13.94,1,1117.22,77.62,100.0
104.1,20.44,1,447.04,23.89,100.0
346.0,21.45,1,5171.61,268.9,66.42
213.47,30.1,0,2700.13,161.85,100.0
356.16,18.97,0,4872.39,363.12,81.38
355.36,17.43,0,4470.07,351.97,100.0
326.05,15.61,0,3380.71,287.61,100.0
178.03,31.53,1,1958.5,86.9,100.0
202.05,30.55,0,2451.64,146.31,100.0
325.55,17.87,0,3843.08,297.62,100.0
183.98,17.47,0,1200.62,94.41,100.0
144.92,10.68,0,459.63,53.03,100.0
247.55,20.1,1,2487.89,134.25,100.0
348.08,15.19,0,3750.53,325.61,100.0
284.45,17.18,0,2823.72,224.56,100.0
251.07,10.87,1,1404.89,119.66,100.0
125.75,23.46,1,743.83,36.91,100.0
262.98,18.08,0,2536.17,194.91,100.0
362.36,32.19,1,8265.75,364.83,0.0
137.12,17.79,0,678.6,52.72,100.0
237.36,28.65,1,3191.63,145.76,100.0
332.5,22.84,0,5071.05,340.0,71.45
296.3,31.96,1,5491.37,242.81,50.43
284.71,30.8,0,4903.43,291.97,79.83
286.16,30.92,1,4971.94,221.78,76.4
195.27,34.35,1,2541.63,110.59,100.0
177.8,8.25,0,536.07,77.78,100.0
314.48,13.32,0,2692.92,258.52,100.0
314.68,5.0,0,1020.52,237.56,100.0
329.77,29.19,0,6267.19,379.26,11.64
342.01,25.9,0,6035.77,381.85,23.21
235.51,32.92,1,3561.16,156.35,100.0
232.9,26.24,1,2833.52,133.72,100.0
311.55,6.77,1,1351.65,176.8,100.0
272.24,11.51,0,1746.81,189.07,100.0
286.02,7.78,0,1309.23,200.41,100.0
310.89,5.49,0,1092.03,232.56,100.0
335.85,13.16,0,3034.99,294.19,100.0
189.57,22.38,0,1616.62,109.54,100.0
199.53,31.13,0,2431.84,144.37,100.0
124.91,24.91,0,776.49,49.95,100.0
253.24,10.54,0,1386.58,161.7,100.0
109.52,19.43,1,471.45,25.96,100.0
223.38,11.88,0,1214.16,127.92,100.0
243.8,22.89,0,2731.71,182.96,100.0
175.93,23.0,1,1428.88,71.61,100.0
256.57,15.66,0,2099.83,178.23,100.0
108.08,10.0,1,239.72,21.95,100.0
109.9,26.52,0,637.26,39.92,100.0
317.99,13.98,0,2886.04,266.83,100.0
195.45,32.86,1,2449.16,107.57,100.0
133.67,16.81,0,610.65,49.29,100.0
238.39,5.23,1,612.45,102.4,100.0
304.05,21.2,0,3949.78,275.58,100.0
157.19,20.32,1,1013.66,54.35,100.0
265.07,15.6,1,2231.82,142.52,100.0
122.62,8.89,1,274.47,27.92,100.0
113.7,25.35,1,653.83,31.31,100.0
240.81,13.97,1,1653.58,114.75,100.0
243.27,6.35,0,773.5,143.27,100.0
268.92,32.44,0,4583.37,269.23,95.83
292.41,9.83,0,1725.57,213.84,100.0
358.6,9.49,1,2505.16,240.3,100.0
236.82,9.37,0,1078.79,139.55,100.0
185.58,12.24,1,863.06,66.53,100.0
310.72,11.97,1,2366.51,185.84,100.0
171.77,9.16,0,555.1,73.26,100.0
216.33,27.91,0,2587.92,159.04,100.0
120.79,26.69,0,774.28,48.39,100.0
106.72,6.19,0,145.16,27.54,100.0
355.1,8.72,0,2258.06,311.66,100.0
321.53,28.81,0,5887.42,357.81,30.63
284.43,20.96,0,3419.14,240.1,100.0
208.37,11.29,0,1004.71,110.47,100.0
145.92,28.7,0,1208.28,73.53,100.0
141.46,27.26,0,1083.03,67.13,100.0
166.31,26.8,0,1473.51,91.94,100.0
245.55,7.54,0,934.49,147.38,100.0
289.37,27.6,0,4583.93,282.82,95.8
274.95,17.02,0,2614.85,209.26,100.0
174.18,11.49,1,714.28,58.04,100.0
353.04,18.85,0,4757.67,356.01,87.12
295.54,13.95,0,2488.77,230.41,100.0
246.9,31.15,0,3725.86,221.15,100.0
262.11,20.49,1,2840.76,151.58,100.0
211.19,25.93,0,2304.01,145.69,100.0
165.65,7.57,1,427.21,50.32,100.0
194.33,14.47,1,1115.06,75.29,100.0
300.83,25.55,0,4611.03,293.39,94.45
103.81,13.41,0,295.41,28.21,100.0
130.76,22.25,0,764.81,51.99,100.0
112.19,13.35,1,343.39,24.69,100.0
110.79,12.63,0,317.14,31.78,100.0
326.7,11.57,1,2530.01,204.38,100.0
286.47,11.87,0,1994.82,210.34,100.0
225.66,27.42,0,2770.43,171.36,100.0
125.93,6.06,0,197.71,38.31,100.0
230.28,12.45,0,1350.71,136.96,100.0
225.47,32.28,0,3207.93,188.66,100.0
145.9,14.67,1,637.14,42.57,100.0
214.97,16.38,0,1539.37,126.56,100.0
205.6,28.67,1,2396.41,109.41,100.0
263.2,26.15,0,3606.9,227.28,100.0
268.3,5.78,1,856.45,130.16,100.0
112.01,8.19,0,211.27,30.85,100.0
199.27,17.88,0,1440.64,111.53,100.0
265.85,19.99,0,2855.1,206.06,100.0
233.33,9.98,0,1114.58,136.38,100.0
326.97,12.49,0,2732.35,276.27,100.0
274.55,28.47,1,4245.96,194.32,100.0
143.18,16.66,1,694.3,42.3,100.0
118.7,28.74,1,800.5,36.52,100.0
270.24,27.4,0,3970.9,245.67,100.0
107.03,16.19,1,377.44,23.46,100.0
255.23,30.2,1,3871.7,173.88,100.0
349.16,23.5,0,5743.9,379.7,37.8
252.5,5.87,0,770.77,153.81,100.0
202.87,10.88,0,917.93,104.18,100.0
270.47,11.19,1,1677.14,139.41,100.0
221.44,5.28,0,532.99,117.83,100.0
244.59,25.95,1,3093.01,146.63,100.0
349.49,26.57,0,6454.12,404.09,2.29
202.32,29.5,0,2381.35,143.63,100.0
354.72,19.54,0,4973.01,363.87,76.35
339.92,14.98,0,3529.34,309.53,100.0
151.88,25.05,1,1153.92,55.54,100.0
118.38,27.58,0,766.6,47.31,100.0
126.71,28.31,0,899.52,55.0,100.0
104.83,20.59,1,456.68,24.29,100.0
125.03,12.84,0,410.39,40.59,100.0
281.0,7.75,1,1258.26,145.03,100.0
118.86,19.97,0,570.12,41.18,100.0
184.53,14.82,0,1028.9,90.99,100.0
323.89,32.89,0,6731.31,394.12,0.0
106.17,34.46,0,753.46,43.69,100.0
315.83,5.59,0,1147.62,240.19,100.0
174.69,32.65,0,1945.49,114.1,100.0
131.31,19.96,0,695.37,50.24,100.0
284.64,26.26,0,4234.54,266.38,100.0
266.67,10.42,1,1519.61,134.28,100.0
332.53,31.17,0,6761.82,401.28,0.0
294.79,9.47,1,1689.47,162.36,100.0
312.92,27.23,0,5293.36,328.26,60.33
174.74,27.58,0,1670.08,103.08,100.0
147.02,5.98,0,266.15,52.19,100.0
298.91,22.63,1,4062.52,205.25,100.0
313.81,24.31,0,4790.03,311.58,85.5
362.48,28.04,0,7297.05,447.69,0.0
209.34,24.85,1,2176.11,105.11,100.0
198.58,6.58,0,534.04,95.64,100.0
305.75,19.4,0,3669.1,269.66,100.0
190.31,29.68,0,2119.1,127.56,100.0
346.65,23.0,0,5547.05,370.65,47.65
327.48,9.57,0,2105.8,267.42,100.0
213.68,10.1,1,946.14,85.9,100.0
298.98,14.39,0,2624.49,237.32,100.0
299.95,20.33,0,3694.05,263.96,100.0
127.33,14.89,0,492.19,43.37,100.0
339.18,10.76,1,2537.18,218.09,100.0
233.89,23.32,0,2559.17,169.8,100.0
319.01,29.61,0,5941.92,357.93,27.9
184.81,23.4,1,1602.8,79.63,100.0
337.31,9.46,0,2210.3,283.4,100.0
203.14,6.26,1,531.57,74.87,100.0
102.87,22.74,0,483.36,32.48,100.0
339.93,34.36,0,7705.42,447.01,0.0
124.19,10.68,1,337.62,29.21,100.0
184.62,23.25,0,1589.94,105.65,100.0
351.77,19.15,0,4797.01,355.36,85.15
351.91,30.02,1,7319.96,329.34,0.0
251.96,6.78,0,885.22,154.19,100.0
267.44,18.13,0,2629.33,201.73,100.0
218.84,14.0,0,1368.81,126.41,100.0
177.7,12.32,0,796.36,81.42,100.0
187.1,27.21,1,1891.03,87.98,100.0
278.22,11.11,0,1761.66,196.48,100.0
299.38,15.89,0,2900.08,243.56,100.0
309.77,31.76,0,5968.24,352.42,26.59
309.25,28.09,0,5320.83,326.21,58.96
124.17,25.32,0,779.11,49.76,100.0
231.02,16.01,0,1739.5,145.31,100.0
115.25,24.82,0,658.92,42.45,100.0
245.63,9.8,0,1212.75,150.82,100.0
217.01,23.65,0,2231.68,147.08,100.0
335.24,11.55,0,2658.35,286.86,100.0
192.99,9.97,0,761.92,93.29,100.0
131.02,27.09,1,923.68,43.04,100.0
137.89,29.5,1,1106.27,50.04,100.0
301.8,30.35,0,5437.79,325.14,53.11
263.83,7.1,0,1016.89,169.51,100.0
126.8,8.91,0,294.27,39.82,100.0
122.29,32.02,0,936.95,55.21,100.0
285.76,16.68,0,2769.53,224.76,100.0
119.28,26.8,0,758.05,47.29,100.0
317.79,15.12,1,3112.0,203.34,100.0
287.15,11.28,0,1905.48,209.76,100.0
121.56,33.44,0,962.14,56.13,100.0
122.48,11.47,1,352.36,28.69,100.0
361.46,23.65,0,6191.51,408.07,15.42
199.18,15.08,0,1219.85,106.45,100.0
198.22,32.81,0,2515.64,147.37,100.0
315.39,29.46,0,5779.61,348.74,36.02
351.02,12.81,0,3227.63,319.79,100.0
361.29,17.32,1,4591.24,272.34,95.44
299.65,21.2,0,3836.99,267.68,100.0
199.71,6.21,1,509.53,72.34,100.0
122.13,14.3,0,435.35,39.55,100.0
305.94,24.77,0,4634.37,298.87,93.28
247.98,6.99,1,884.24,112.21,100.0
212.42,14.14,1,1302.17,89.51,100.0
340.18,24.71,0,5715.07,369.01,39.25
129.47,12.03,0,412.67,43.05,100.0
230.55,11.84,1,1288.03,102.12,100.0
103.01,11.04,0,240.06,26.91,100.0
224.2,29.05,0,2884.08,174.8,100.0
114.92,28.06,0,734.11,45.02,100.0
131.49,26.72,0,918.4,57.37,100.0
131.14,29.66,0,1005.6,60.55,100.0
272.04,8.91,0,1354.62,183.27,100.0
297.7,25.29,0,4474.16,285.9,100.0
254.59,19.65,1,2575.15,140.85,100.0
354.98,14.28,0,3672.59,334.0,100.0
199.34,16.36,0,1322.82,108.81,100.0
175.71,20.22,0,1261.11,90.4,100.0
330.18,17.29,0,3828.05,303.12,100.0
159.25,9.51,0,494.87,63.2,100.0
355.25,22.2,0,5634.7,383.4,43.27
103.22,6.4,0,140.3,25.8,100.0
357.02,12.05,0,3145.2,327.47,100.0
111.44,28.06,1,690.14,31.75,100.0
336.15,13.81,0,3185.97,297.43,100.0
239.84,33.15,1,3716.53,162.92,100.0
363.14,30.13,1,7819.64,351.44,0.0
119.56,16.51,0,479.92,39.23,100.0
246.77,31.98,0,3811.03,224.64,100.0
356.87,10.11,1,2642.2,239.62,100.0
238.62,10.95,0,1278.35,144.27,100.0
266.79,30.14,0,4222.09,252.98,100.0
284.37,29.71,0,4735.43,284.97,88.23
220.45,27.42,0,2644.19,163.55,100.0
266.3,28.69,0,4021.96,244.8,100.0
254.84,21.86,0,2857.45,196.03,100.0
338.81,7.31,1,1724.66,210.02,100.0
112.04,31.83,1,782.16,34.62,100.0
174.46,8.94,1,558.76,56.54,100.0
351.86,10.14,1,2576.51,233.03,100.0
335.92,28.78,0,6419.25,390.28,4.04
220.75,6.54,0,655.37,118.14,100.0
264.34,19.73,0,2786.84,202.74,100.0
173.51,13.02,0,801.07,78.35,100.0
149.85,15.19,1,695.31,45.26,100.0
222.88,16.65,0,1681.77,136.66,100.0
193.64,10.22,0,785.94,94.18,100.0
254.67,29.15,0,3732.65,225.99,100.0
120.6,13.57,0,403.13,38.15,100.0
358.21,17.26,1,4499.44,267.47,100.0
361.35,7.26,0,1949.4,318.4,100.0
285.01,7.93,0,1323.36,199.25,100.0
242.07,22.89,1,2692.32,135.26,100.0
182.02,17.71,1,1190.8,69.59,100.0
315.66,19.68,0,3963.76,288.83,100.0
281.45,22.97,0,3652.78,244.21,100.0
143.09,30.6,0,1231.61,73.46,100.0
341.4,12.09,0,2883.66,299.57,100.0
317.97,6.3,1,1310.51,183.5,100.0
351.7,19.9,1,4975.0,270.02,76.25
292.32,22.09,0,3796.5,259.02,100.0
262.56,6.31,0,895.78,166.84,100.0
210.83,8.95,0,817.28,110.13,100.0
347.17,31.29,0,7396.99,438.5,0.0
329.51,5.4,0,1206.98,261.11,100.0
111.98,28.9,0,716.04,43.47,100.0
106.99,26.0,1,592.76,28.08,100.0
199.76,33.63,1,2611.46,114.12,100.0
314.8,11.84,0,2401.83,253.88,100.0
361.63,11.53,0,3088.98,333.73,100.0
139.86,21.03,1,829.54,43.6,100.0
257.44,19.53,1,2617.84,143.72,100.0
200.94,24.73,1,1995.92,96.61,100.0
357.03,25.59,1,6505.69,310.22,0.0
323.16,6.67,0,1433.18,253.44,100.0
322.16,22.83,0,4757.2,319.07,87.14
224.2,25.53,0,2560.05,162.92,100.0
209.93,17.18,0,1538.05,122.31,100.0
172.45,31.78,0,1850.57,109.26,100.0
114.94,18.76,0,501.95,37.67,100.0
329.15,28.24,1,6056.34,277.97,22.18
315.42,7.91,1,1618.6,183.01,100.0
364.93,33.27,1,8631.32,378.06,0.0
364.11,19.54,0,5239.24,383.38,63.04
247.19,10.66,1,1334.83,115.7,100.0
303.78,8.22,0,1557.99,226.97,100.0
350.36,19.91,0,4938.86,357.35,78.06
325.16,10.75,0,2329.17,267.21,100.0
165.55,12.13,0,680.57,70.48,100.0
219.39,6.5,1,643.71,87.49,100.0
134.23,32.74,0,1151.17,67.48,100.0
352.82,16.88,0,4270.26,343.75,100.0
260.64,29.12,0,3906.44,236.58,100.0
160.59,28.97,0,1475.74,89.53,100.0
278.0,27.65,0,4237.47,261.28,100.0
263.8,29.29,1,4023.03,182.39,100.0
194.91,5.71,0,446.21,91.55,100.0
130.09,26.4,0,889.01,55.8,100.0
277.97,28.84,1,4404.23,200.68,100.0
237.88,16.54,1,1903.25,116.54,100.0
304.66,20.46,0,3832.76,272.92,100.0
237.84,29.58,1,3298.99,149.11,100.0
325.83,32.73,1,6782.6,298.18,0.0
246.26,17.58,0,2164.29,169.45,100.0
248.65,14.95,0,1883.94,165.53,100.0
332.31,10.81,0,2446.26,279.3,100.0
206.92,11.82,0,1036.6,109.67,100.0
135.51,14.53,1,544.43,36.64,100.0
107.63,5.83,1,139.02,20.95,100.0
300.11,29.92,0,5308.03,318.74,59.6
264.38,31.03,0,4256.93,252.94,100.0
286.58,8.19,1,1381.8,151.46,100.0
156.44,29.74,0,1434.51,86.3,100.0
136.14,23.57,1,875.56,43.35,100.0
103.85,13.74,0,302.62,28.36,100.0
192.91,10.28,0,784.67,93.54,100.0
256.33,30.55,0,3945.54,235.47,100.0
203.94,30.62,0,2502.72,149.27,100.0
215.93,20.12,0,1895.12,136.26,100.0
339.6,33.56,1,7532.8,329.32,0.0
192.29,22.45,0,1668.61,112.87,100.0
236.21,19.19,0,2166.71,160.33,100.0
307.67,10.55,1,2048.05,179.01,100.0
205.08,9.77,0,843.42,105.11,100.0
264.85,11.71,0,1682.52,179.42,100.0
328.53,32.25,1,6804.1,300.19,0.0
351.62,12.04,1,3048.2,238.2,100.0
138.97,32.22,1,1216.61,53.69,100.0
345.55,27.7,0,6557.06,404.06,0.0
230.41,20.47,1,2193.66,117.1,100.0
168.43,16.61,0,958.0,77.99,100.0
221.67,11.15,0,1122.63,124.8,100.0
359.71,24.34,0,6299.9,409.6,10.0
230.54,34.2,0,3530.1,204.97,100.0
187.12,31.6,0,2167.65,128.17,100.0
267.85,13.76,0,2016.08,188.71,100.0
163.64,34.54,0,1793.88,103.96,100.0
120.1,28.95,0,825.07,50.06,100.0
134.15,25.25,0,907.18,58.01,100.0
133.93,8.13,0,299.61,44.08,100.0
140.25,28.66,0,1114.8,67.87,100.0
136.79,8.24,1,316.68,34.52,100.0
269.83,19.95,0,2935.61,212.12,100.0
148.2,28.41,0,1234.48,75.39,100.0
191.6,8.78,0,662.29,90.8,100.0
337.65,31.92,0,7123.08,420.07,0.0
225.6,32.45,1,3226.84,142.15,100.0
276.9,23.82,0,3658.43,240.28,100.0
145.66,26.67,0,1125.13,70.34,100.0
150.96,17.74,1,820.4,47.89,100.0
110.83,15.7,0,392.73,33.28,100.0
144.77,28.35,1,1175.8,53.89,100.0
173.83,9.81,0,608.52,75.55,100.0
146.91,21.96,0,953.53,65.26,100.0
123.51,20.04,0,617.54,44.51,100.0
131.97,27.35,0,945.38,58.53,100.0
222.11,30.46,1,2954.91,132.37,100.0
154.68,24.34,0,1165.21,75.75,100.0
196.53,32.99,1,2484.68,109.04,100.0
233.41,18.02,0,1991.17,153.37,100.0
282.95,30.29,0,4770.95,285.44,86.45
110.42,10.65,1,266.11,23.08,100.0
311.84,5.12,1,1025.48,175.09,100.0
266.39,23.91,0,3398.44,222.79,100.0
